Date,Open,High,Low,Close,Adj Close,Volume
12/12/2017,1039.630005,1050.310059,1033.689941,1040.47998,1040.47998,1279500
12/13/2017,1046.119995,1046.665039,1038.380005,1040.609985,1040.609985,1282700
12/14/2017,1045,1058.5,1043.109985,1049.150024,1049.150024,1558700
12/15/2017,1054.609985,1067.619995,1049.5,1064.189941,1064.189941,3275900
12/18/2017,1066.079956,1078.48999,1062,1077.140015,1077.140015,1554600
12/19/2017,1075.199951,1076.839966,1063.550049,1070.680054,1070.680054,1338700
12/20/2017,1071.780029,1073.380005,1061.52002,1064.949951,1064.949951,1268600
12/21/2017,1064.949951,1069.329956,1061.793945,1063.630005,1063.630005,995700
12/22/2017,1061.109985,1064.199951,1059.439941,1060.119995,1060.119995,755100
12/26/2017,1058.069946,1060.119995,1050.199951,1056.73999,1056.73999,760600
12/27/2017,1057.390015,1058.369995,1048.050049,1049.369995,1049.369995,1271900
12/28/2017,1051.599976,1054.75,1044.77002,1048.140015,1048.140015,837100
12/29/2017,1046.719971,1049.699951,1044.900024,1046.400024,1046.400024,887500
